"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Aciclovir|Plasma Unbound [µmol/l]"
0,585,1.1314349,0.8675657
0,588,1.1164471,0.8558484
0,591,1.1016635,0.84429324
0,594,1.0870816,0.8328981
0,597,1.0726985,0.82166046
0,600,1.0585111,0.8105783
0,603,1.0445172,0.7996493
0,606,1.0307136,0.78887135
0,609,1.017098,0.7782423
0,612,1.0036675,0.76776
0,615,0.9904196,0.75742245
0,618,0.97735184,0.7472275
0,621,0.9644616,0.7371732
0,624,0.9517467,0.7272578
0,627,0.93920463,0.7174792
0,630,0.92683285,0.7078355
0,633,0.914629,0.6983248
0,636,0.9025908,0.6889451
0,639,0.8907159,0.67969465
0,642,0.87900203,0.6705716
0,645,0.86744696,0.66157424
0,648,0.8560484,0.65270066
0,651,0.8448043,0.6439492
0,654,0.83371246,0.63531816
0,657,0.82277095,0.626806
0,660,0.81197757,0.6184109
0,663,0.80133027,0.6101312
0,666,0.790827,0.60196537
0,669,0.7804657,0.5939117
0,672,0.7702445,0.58596873
0,675,0.7601614,0.57813483
0,678,0.75021446,0.57040846
0,681,0.74040186,0.5627881
0,684,0.73072165,0.55527234
0,687,0.7211723,0.5478597
0,690,0.7117517,0.54054886
0,693,0.70245814,0.5333382
0,696,0.69328994,0.5262264
0,699,0.6842453,0.51921207
0,702,0.67532253,0.5122939
0,705,0.6665199,0.5054704
0,708,0.6578358,0.49874032
0,711,0.6492685,0.49210238
0,714,0.6408165,0.48555526
0,717,0.63247824,0.47909775
0,720,0.62425214,0.4727286
0,723,0.61613655,0.46644658
0,726,0.6081301,0.4602504
0,729,0.6002311,0.4541389
0,732,0.5924382,0.4481109
0,735,0.58474994,0.44216526
0,738,0.57716477,0.43630072
0,741,0.56968135,0.43051627
0,744,0.56229824,0.4248107
0,747,0.5550141,0.41918296
0,750,0.5478276,0.41363204
0,753,0.5407374,0.4081568
0,756,0.5337421,0.4027562
0,759,0.52684045,0.3974292
0,762,0.52003115,0.39217475
0,765,0.5133129,0.38699183
0,768,0.5066845,0.38187945
0,771,0.5001446,0.37683663
0,774,0.4936921,0.3718624
0,777,0.48732573,0.3669558
0,780,0.4810444,0.36211595
0,783,0.47484696,0.3573419
0,786,0.46873218,0.35263273
0,789,0.46269897,0.34798753
0,792,0.45674616,0.3434054
0,795,0.4508727,0.33888546
0,798,0.44507745,0.33442685
0,801,0.43935934,0.3300287
0,804,0.43371734,0.32569024
0,807,0.4281504,0.32141054
0,810,0.4226575,0.31718883
0,813,0.41723767,0.31302437
0,816,0.41188988,0.30891633
0,819,0.40661314,0.30486393
0,822,0.4014065,0.30086634
0,825,0.39626896,0.29692286
0,828,0.3911996,0.29303274
0,831,0.38619748,0.28919518
0,834,0.38126165,0.2854095
0,837,0.37639123,0.28167498
0,840,0.37158534,0.27799088
0,843,0.36684316,0.27435657
0,846,0.36216375,0.27077135
0,849,0.3575463,0.2672345
0,852,0.3529899,0.26374537
0,855,0.34849378,0.26030332
0,858,0.34405705,0.25690764
0,861,0.33967897,0.25355774
0,864,0.3353587,0.25025296
0,867,0.33109546,0.24699268
0,870,0.32688847,0.24377628
0,873,0.32273698,0.24060318
0,876,0.3186403,0.2374728
0,879,0.31459758,0.23438452
0,882,0.31060815,0.23133779
0,885,0.30667126,0.22833198
0,888,0.30278623,0.22536658
0,891,0.29895228,0.22244099
0,894,0.2951688,0.21955468
0,897,0.29143503,0.2167071
0,900,0.28775033,0.2138977
0,903,0.28411403,0.21112598
0,906,0.28052554,0.20839147
0,909,0.27698416,0.2056936
0,912,0.27348924,0.2030319
0,915,0.27004018,0.20040582
0,918,0.26663634,0.19781491
0,921,0.26327708,0.19525868
0,924,0.25996187,0.19273664
0,927,0.25669003,0.19024833
0,930,0.25346103,0.18779327
0,933,0.25027424,0.185371
0,936,0.24712917,0.18298112
0,939,0.24402523,0.18062316
0,942,0.24096185,0.17829669
0,945,0.23793848,0.17600125
0,948,0.23495458,0.17373644
0,951,0.23200963,0.17150183
0,954,0.22910309,0.16929701
0,957,0.22623445,0.16712156
0,960,0.22340319,0.16497508
0,963,0.2206088,0.16285716
0,966,0.21785079,0.16076744
0,969,0.21512873,0.15870553
0,972,0.21244209,0.15667106
0,975,0.20979036,0.15466364
0,978,0.20717314,0.15268289
0,981,0.2045899,0.15072846
0,984,0.20204023,0.14879997
0,987,0.19952364,0.14689709
0,990,0.19703972,0.14501944
0,993,0.194588,0.1431667
0,996,0.19216807,0.14133853
0,999,0.1897795,0.1395346
0,1002,0.1874219,0.13775456
0,1005,0.18509483,0.1359981
0,1008,0.18279786,0.1342649
0,1011,0.18053062,0.13255464
